gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
SRM,Nerve_Tibial,DPN,3.0595,0.002216919360160711,2,2
STX4,Nerve_Tibial,DPN,-0.326,0.7443912617708669,1,1
TOMM20,Nerve_Tibial,DPN,1.1831,0.2367735341516023,2,2
U2AF2,Nerve_Tibial,DPN,-1.0535,0.2920966041677614,2,1
ANKRD40,Whole_Blood,DPN,2.9348,0.003337143263555992,2,2
AP3M1,Whole_Blood,DPN,0.6533,0.5135821417367412,2,2
ATG101,Whole_Blood,DPN,1.2352,0.2167409478562233,2,1
CFDP1,Whole_Blood,DPN,0.6972,0.48568661041284655,3,1
CUL1,Whole_Blood,DPN,-2.963,0.003046257810970261,2,2
DCTN2,Whole_Blood,DPN,6.1099,9.971944530917014e-10,1,1
DNAJC4,Whole_Blood,DPN,5.0165,5.263232463089279e-07,2,2
E2F4,Whole_Blood,DPN,3.9353,8.31017654589214e-05,2,2
FIBP,Whole_Blood,DPN,-1.2972,0.19456181747126558,1,1
GOLGA3,Whole_Blood,DPN,1.1274,0.2595781899821859,2,2
LSM12,Whole_Blood,DPN,-16.3283,6.208370583017981e-60,2,1
MAPK1IP1L,Whole_Blood,DPN,-2.1941,0.028226126354002797,2,1
MCMBP,Whole_Blood,DPN,-3.1381,0.0017003140754785833,3,2
PSMC1,Whole_Blood,DPN,-1.2607,0.20742790371839712,1,1
RABGGTB,Whole_Blood,DPN,2.2976,0.021584095862479096,1,1
RBX1,Whole_Blood,DPN,-2.2592,0.02387177898362019,1,1
RNF181,Whole_Blood,DPN,-0.8807,0.37848653619969386,2,1
RNPS1,Whole_Blood,DPN,-0.4686,0.639379085578486,1,1
SDF4,Whole_Blood,DPN,9.7001,3.0127995601086254e-22,2,2
SF3B4,Whole_Blood,DPN,-9.0211,1.861939046859889e-19,1,1
SRM,Whole_Blood,DPN,0.4707,0.637830989944286,2,2
STX4,Whole_Blood,DPN,-0.6619,0.508044236929644,1,1
TOMM20,Whole_Blood,DPN,6.715,1.880343059114274e-11,3,3
TRIP12,Whole_Blood,DPN,0.9717,0.3312143959188394,2,1
U2AF2,Whole_Blood,DPN,-1.0535,0.2920966041677612,1,1
