Gene,Group,Source,log10_Length,Length_bp,GC_pct,eQTL_SNPs_Mean,PullDown_Unused
ARAP1,30 T2DM Control,GWAS_literature,5.0879,122430,38.7,2.0,0.0
CAMK1D,30 T2DM Control,GWAS_literature,4.6818,48057,38.1,1.5,0.0
CDKAL1,30 T2DM Control,GWAS_literature,5.8382,688950,38.6,2.5,0.0
DGKB,30 T2DM Control,GWAS_literature,5.4174,261485,36.4,,0.0
DUSP8,30 T2DM Control,GWAS_literature,4.7873,61280,36.1,1.5,0.0
FOXA2,30 T2DM Control,GWAS_literature,3.6008,3988,66.5,,0.0
FTO,30 T2DM Control,GWAS_literature,5.3428,220169,38.2,1.5,0.0
GCK,30 T2DM Control,GWAS_literature,4.5498,35461,60.9,3.0,0.0
GCKR,30 T2DM Control,GWAS_literature,4.4371,27360,49.1,1.0,0.0
GRB14,30 T2DM Control,GWAS_literature,5.0265,106288,42.2,1.0,0.0
HHEX,30 T2DM Control,GWAS_literature,4.4449,27853,59.5,1.0,0.0
HMGA2,30 T2DM Control,GWAS_literature,4.8892,77475,36.8,,0.0
HNF1A,30 T2DM Control,GWAS_literature,4.5022,31786,54.4,,0.0
HNF1B,30 T2DM Control,GWAS_literature,4.7719,59144,38.3,,0.0
JAZF1,30 T2DM Control,GWAS_literature,5.4632,290504,41.4,2.0,0.0
KCNJ11,30 T2DM Control,GWAS_literature,3.9834,9625,46.2,1.5,0.0
KLF14,30 T2DM Control,GWAS_literature,3.9138,8200,65.0,1.0,0.0
MNX1,30 T2DM Control,GWAS_literature,3.8874,7716,48.2,,0.0
PAM,30 T2DM Control,GWAS_literature,5.6652,462588,36.6,1.0,0.0
PDX1,30 T2DM Control,GWAS_literature,3.9472,8856,61.8,,0.0
PPARG,30 T2DM Control,GWAS_literature,5.6943,494639,38.7,1.0,0.0
PROX1,30 T2DM Control,GWAS_literature,4.6938,49409,36.5,1.0,0.0
RREB1,30 T2DM Control,GWAS_literature,5.2486,177238,44.0,1.0,0.0
SLC16A11,30 T2DM Control,GWAS_literature,4.162,14520,36.5,1.0,0.0
SLC30A8,30 T2DM Control,GWAS_literature,5.042,110156,40.2,,0.0
ST6GAL1,30 T2DM Control,GWAS_literature,4.9695,93218,37.7,1.5,0.0
TCF7L2,30 T2DM Control,GWAS_literature,5.3507,224243,36.0,,0.0
TSPAN8,30 T2DM Control,GWAS_literature,4.9671,92696,42.0,,0.0
